code,D10,D30,D50,D60,D90,Cu,Cc,clay_pct,silt_pct,sand_pct,bulk_density,particle_density,porosity,void_ratio,Gs,OM_content,pH,EC,theta_s,theta_r
1280,0.001,0.0168888888888888,0.0318768718801996,0.0390316139767054,0.0604958402662229,,,18.1,75.4,6.499999999999995,1.34,2.65,0.494,0.9762845849802372,2.65,1.5,7.54,,0.4531023999743039,0.0
3381,0.001,0.0151521126760563,0.0314901408450704,0.0396591549295774,0.1072847682119205,,,84.89999999999999,0.0,15.1,1.452,2.65,0.452,0.8248175182481752,2.65,0.8,6.3,,0.4732403689457372,0.0
4562,0.001,0.0051657458563535,0.0079281767955801,0.0093093922651933,0.125776397515528,,,28.8,71.2,0.0,1.6,2.64,0.394,0.6501650165016503,2.64,,7.87,,0.4141079052109838,0.1955566441134587
2691,0.001,0.001,0.0118461538461538,0.0272307692307692,1.2261904761904765,,,74.8,25.2,0.0,1.67,2.69,0.379,0.6103059581320451,2.69,7.7,7.3,,0.6204001642540917,0.1616270537440884
2541,0.001,0.0149767441860465,0.453125,0.7625,1.690625,,,36.0,64.0,0.0,1.697,2.64,0.357,0.5552099533437014,2.64,,,,0.3170881939051751,0.0
3155,0.0650684931506849,0.1516166281755196,0.2209006928406466,0.2604712041884817,0.4568062827225131,4.00303113805456,1.3563232323294447,6.1,9.0,84.89999999999999,1.53,,,,,0.16,7.4,0.21,0.4055793027364758,0.0
2422,0.0294285714285714,0.4310344827586206,0.8793103448275862,1.103448275862069,1.7758620689655171,37.495815199196514,5.721407348510209,13.0,87.0,0.0,1.4,,,,,,,,0.374,0.0
1212,0.001,0.0158039215686274,0.0471764705882352,0.0690402476780185,0.1854508196721312,,,51.8,32.3,15.900000000000002,1.61,,,,,,,,0.4504516330025089,0.0
2652,0.001,0.0101702127659574,0.030595744680851,0.0408085106382978,1.3709677419354842,,,69.0,31.000000000000007,0.0,1.52,2.66,0.429,0.7513134851138354,2.66,0.4,4.9,,0.4209825207231228,0.0
2464,0.001,0.0048421052631578,0.0124210526315789,0.0162105263157894,0.3777777777777777,,,70.0,14.500000000000002,15.500000000000004,,,,,,,,,0.1955034643825377,0.0050520987412919
2621,0.001,0.001,0.0027317073170731,0.0173658536585365,0.8983050847457633,,,82.3,17.700000000000003,0.0,1.27,2.61,0.513,1.053388090349076,2.61,1.4,3.4,,0.5128492396170167,0.086808433131196
1200,0.001,0.032,0.0903266331658291,0.1288167938931297,0.3345588235294118,,,39.3,19.899999999999995,40.8,1.71,,,,,,,,0.3284073811406202,0.0
2622,0.001,0.001,0.0069765886287625,0.0230301003344481,1.1594827586206895,,,76.8,23.2,0.0,1.47,2.65,0.445,0.8018018018018019,2.65,0.6,3.6,,0.4449103586911991,0.2135744404039985
1183,0.001,0.001,0.05,0.4399999999999999,1.61,,,50.0,50.0,0.0,1.44,2.65,0.457,0.8416206261510131,2.65,,,,0.5073233307448406,0.170692359021181
2572,0.0441818181818181,0.4697309417040358,0.90695067264574,1.1255605381165918,1.781390134529148,25.47565003967594,4.436963894040916,10.8,89.2,0.0,1.44,2.69,0.465,0.8691588785046731,2.69,0.3,5.100000000000001,,0.4827290712084044,0.0
4140,0.03875,0.1126637554585152,0.1563318777292576,0.1781659388646288,0.4120141342756184,4.597830680377518,1.838535667823968,4.8,19.4,75.8,1.36,,,,,2.2,,,0.4183821280197372,0.0704882906689294
1392,0.0077932960893854,0.0418715083798882,0.3185763888888889,0.6548611111111111,1.6637152777777775,84.02877339705296,0.3435317131266856,42.4,0.0,57.60000000000001,1.66,,,,,1.19,6.53,,0.3913188623307071,0.0
1342,0.001,0.0128258706467661,0.0278068410462776,0.0358551307847082,0.06,,,20.200000000000003,69.8,9.999999999999998,1.34,2.63,0.489,0.9569471624266144,2.63,0.43,7.3,,0.4523624219688423,0.0
2571,0.0134059405940594,0.3414337788578371,0.8153098420413123,1.0522478736330498,1.763061968408263,78.49116339507975,8.264139166616296,17.7,82.3,0.0,1.3,2.64,0.508,1.032520325203252,2.64,1.5,4.8,,0.4787815090390359,0.0
3290,0.0011676300578034,0.0242552083333333,0.0710869565217391,0.1010386473429951,0.3251655629139074,86.53309896207004,4.986745778350377,28.1,19.2,52.7,1.44,2.62,0.449,0.8148820326678767,2.62,2.4,,,0.4822769315938616,0.0
1111,0.0287042253521126,0.1485655737704918,0.2168715846994535,0.2526408450704225,0.5904761904761906,8.801521099116782,3.0435957768770265,16.3,6.800000000000001,76.9,1.73,,,,,,,,0.2855068585010475,0.0
4710,0.0011764705882352,0.0246813186813186,0.0512903225806451,0.0674193548387096,0.1777777777777777,57.30645161290322,7.6801738804862,49.2,31.000000000000007,19.8,1.28,,0.51,1.0408163265306123,,,,,0.7556421724265532,0.0
2132,0.001,0.0446666666666666,0.5661764705882353,0.8529411764705882,1.7132352941176474,,,32.0,68.0,0.0,1.72,,,,,,,,0.2995644495245456,0.0
1010,0.0259999999999999,0.1126315789473684,0.1757894736842105,0.2073684210526316,0.4717741935483871,7.975708502024293,2.352904909677552,17.0,10.900000000000002,72.1,1.64,2.64,0.394,0.6501650165016503,2.64,0.01,,,0.3706822204965603,0.0
1043,0.064516129032258,0.1421389396709323,0.1878427787934186,0.2106946983546617,0.4277777777777778,3.265767824497258,1.4862923181859642,7.000000000000001,15.5,77.5,1.593,2.61,0.3896551724137931,0.6384180790960452,2.61,,,,0.3204699881776978,0.0
3310,0.001,0.0366787878787878,0.0976779661016949,0.134065934065934,0.3842105263157895,234.6153846153844,17.561012846798818,23.6,16.500000000000004,59.9,1.53,2.59,0.403,0.6750418760469012,2.59,2.6,,,0.4130528457717779,0.0
1073,0.1669847328244275,0.3963730569948186,0.6857585139318886,0.8405572755417957,1.6632996632996635,5.033737284387439,1.1193455438424864,3.6,2.0000000000000004,94.4,1.59,,,,,,,,0.3097772658422237,0.0
4161,0.001,0.0397368421052631,0.0879487179487179,0.1163076923076922,0.2736842105263158,,,14.9,39.8,45.3,1.62,,,,,0.56,,,0.3643959953115329,0.0568360693650123
